word,clue
J ZYK,"System znakÛw uøywany do komunikacji miÍdzy ludümi"
S£OWO,"Najmniejsza jednostka znaczeniowa w jÍzyku"
GRAMATYKA,"ZbiÛr regu≥ rzπdzπcych poprawnym uøyciem jÍzyka"
APP,"SkrÛt od 'Application', czyli program komputerowy"
PYTHON,"Popularny jÍzyk programowania wysokiego poziomu"
STREAMLIT,"Framework do tworzenia aplikacji webowych w Pythonie"
KOD,"ZbiÛr instrukcji dla komputera"
KOT,"Ma≥e ssaki domowe, ktÛre lubiπ mruczeÊ"
PIES,"Domowe zwierzÍ czÍsto towarzyszπce ludziom"
DOM,"Miejsce, w ktÛrym mieszkajπ ludzie"
G”RA,"Wzniesienie terenu, wiÍksze od pagÛrka"
LAS,"Duøy obszar poroúniÍty drzewami"
RZEKA,"Naturalny ciek wodny p≥ynπcy w okreúlonym korycie"
JEZIORO,"Stojπcy zbiornik wody"
AUTO,"Pojazd silnikowy do transportu ludzi lub rzeczy"
KSI•ØKA,"ZbiÛr zapisanych stron z tekstem lub ilustracjami"
STO£,"Mebel z p≥askim blatem do pracy lub jedzenia"
KRZES£O,"Mebel do siedzenia, zazwyczaj z oparciem"
KOMPUTER,"Maszyna elektroniczna do przetwarzania danych"
MONITOR,"Urzπdzenie wyúwietlajπce obraz z komputera"
KLAVISZ,"Element klawiatury s≥uøπcy do wprowadzania danych"
MYSZKA,"Urzπdzenie wskazujπce na ekranie komputera"
TELEFON,"Urzπdzenie do komunikacji g≥osowej i tekstowej"
TABLET,"Przenoúne urzπdzenie z ekranem dotykowym"
OKNO,"Przeszklenie w úcianie pozwalajπce wpuszczaÊ úwiat≥o"
DRZWI,"Przesuwany lub otwierany element wejúcia do pomieszczenia"
£”ØKO,"Mebel do spania"
LAMPKA,"Urzπdzenie s≥uøπce do oúwietlania"
ZEGAR,"Urzπdzenie pokazujπce czas"
KALENDARZ,"NarzÍdzie do planowania dni i wydarzeÒ"
SAMOCH”D,"Pojazd silnikowy do przewozu osÛb"
ROWER,"Pojazd napÍdzany si≥π miÍúni, posiada dwa ko≥a"
MOTOCYKL,"Pojazd silnikowy na dwÛch ko≥ach"
AUTOBUS,"Duøy pojazd przewoøπcy wiele osÛb"
TRAMWAJ,"Pojazd szynowy poruszajπcy siÍ po torach w mieúcie"
PIASEK,"Ma≥e ziarenka mineralne tworzπce plaøe i pustynie"
KAMIEN,"Twardy fragment skalny"
SKA£A,"Duøy fragment masy skalnej"
WODA,"Nieprzezroczysta ciecz niezbÍdna do øycia"
OGIE—,"Proces spalania wydzielajπcy ciep≥o i úwiat≥o"
ZIEMIA,"Planeta, na ktÛrej øyjemy"
S£O—CE,"Gwiazda bÍdπca ürÛd≥em úwiat≥a i ciep≥a"
KSI ØYC,"Naturalny satelita Ziemi"
GWIAZDA,"Ogromna kula gazowa emitujπca úwiat≥o"
PLANETA,"Cia≥o niebieskie krπøπce wokÛ≥ gwiazdy"
SATELITA,"Obiekt orbitujπcy wokÛ≥ planety lub gwiazdy"
STATEK,"Pojazd poruszajπcy siÍ po wodzie"
£”Dè,"Ma≥y pojazd wodny"
SAMOLOT,"Pojazd latajπcy w powietrzu"
HELIKOPTER,"Pojazd latajπcy pionowo za pomocπ wirnika"
ROWER,"Pojazd napÍdzany si≥π miÍúni, posiada dwa ko≥a"
PI£KA,"Kulisty przedmiot do gier i sportu"
R KAWICZKA,"Ochrona d≥oni, czÍsto z materia≥u lub skÛry"
BUT,"Ochrona stopy, element odzieøy"
CZAPKA,"Nakrycie g≥owy"
KOSZULA,"Element odzieøy zak≥adany na gÛrnπ czÍúÊ cia≥a"
SPODNIE,"Element odzieøy zak≥adany na nogi"
SUKIENKA,"Element odzieøy zak≥adany przez kobiety"
BLUZA,"Element odzieøy zak≥adany na gÛrnπ czÍúÊ cia≥a"
KURTKA,"Odzieø wierzchnia chroniπca przed zimnem"
TORBA,"Przedmiot do przenoszenia rzeczy osobistych"
PLECAK,"Torba noszona na plecach"
OKULARY,"Przedmiot s≥uøπcy do poprawy widzenia lub ochrony oczu"
TELEWIZOR,"Urzπdzenie do odbioru programÛw telewizyjnych"
RADIO,"Urzπdzenie odbierajπce fale radiowe"
G£OåNIK,"Urzπdzenie emitujπce düwiÍk"
MEBEL,"Przedmiot uøytkowy w domu"
STOLIK,"Ma≥y stÛ≥ uøywany w domu"
FOTEL,"Wygodne siedzisko z oparciem"
KANAPA,"Mebel do siedzenia dla kilku osÛb"
DYWAN,"Pokrycie pod≥ogi z tkaniny"
LUSTRO,"Powierzchnia odbijajπca obraz"
OBRAZ,"Dzie≥o sztuki do zawieszania na úcianie"
ZEGAREK,"Ma≥e urzπdzenie do mierzenia czasu"
PEN,"Przyrzπd do pisania atramentem"
O£”WEK,"Przyrzπd do pisania lub rysowania grafitem"
D£UGOPIS,"Przyrzπd do pisania tuszem"
MARKER,"Przyrzπd do oznaczania lub pisania"
BRULION,"Zeszyt do notatek"
KALENDARZ,"NarzÍdzie do organizowania dat i wydarzeÒ"
MOBILNY,"Coú przenoúnego, moøliwego do noszenia"
TABLET,"Przenoúne urzπdzenie z ekranem dotykowym"
SMARTFON,"Przenoúne urzπdzenie komunikacyjne"
LAPTOP,"Przenoúny komputer"
MONITOR,"Urzπdzenie wyúwietlajπce obraz z komputera"
MYSZ,"Urzπdzenie wskazujπce po ekranie"
KLAWIATURA,"Urzπdzenie do wprowadzania znakÛw do komputera"
S£O—,"Duøe zwierzÍ z trπbπ"
TYGRYS,"Drapieøny ssak z prÍgami"
LEW,"KrÛl døungli"
ZEBRA,"Ssaki afrykaÒskie w pasy"
ØYRAFA,"Wysokie zwierzÍ afrykaÒskie z d≥ugπ szyjπ"
MA£PA,"Zwinny ssak nadrzewny"
SOWA,"Ptak nocny polujπcy na ma≥e zwierzÍta"
WR”BEL,"Ma≥y ptak czÍsto spotykany w mieúcie"
JASK”£KA,"Ptak przylatujπcy wiosnπ do Europy"
RYBA,"Ssaki wodne nie sπ, lecz zwierzÍta wodne majπ skrzela"
KROWA,"Domowe zwierzÍ hodowlane produkujπce mleko"
KO—,"Duøe zwierzÍ hodowlane, czÍsto jeødøone przez ludzi"
OWCA,"Domowe zwierzÍ hodowlane dajπce we≥nÍ"
åWINIA,"Domowe zwierzÍ hodowlane dajπce miÍso"
KURA,"Ptak hodowlany znoszπcy jaja"
JAJKO,"Produkt spoøywczy pochodzenia zwierzÍcego"
CHLEB,"Wypiek z mπki, wody i droødøy"
MAKARON,"Produkt spoøywczy z pszenicy, gotowany"
RYØ,"Ziarna roúliny uprawnej stosowane w kuchni"
M•KA,"Produkt otrzymywany z ziarna zmielonego"
CUKIER,"S≥odka substancja stosowana w kuchni"
S”L,"Substancja dodawana do potraw dla smaku"
PIERå,"MiÍso kurczaka lub indyka"
MI SO,"Produkt pochodzenia zwierzÍcego do jedzenia"
WODA,"Nieprzezroczysta ciecz niezbÍdna do øycia"
OLEJ,"T≥uszcz roúlinny lub zwierzÍcy uøywany w kuchni"
MAS£O,"Produkt mleczny do smarowania"
SER,"Produkt mleczny"
JOGURT,"Produkt mleczny fermentowany"
SOK,"NapÛj uzyskany z owocÛw lub warzyw"
HERBATA,"NapÛj przygotowywany przez zalanie suszu wodπ"
KAWA,"NapÛj pobudzajπcy z ziaren kawowca"
PIWO,"Alkoholowy napÛj zboøowy"
WINO,"NapÛj alkoholowy z winogron"
